,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
4434,4619,CD58,ENSG00000116815,-0.0013619789437569203,0.023182047249696556,0.05671795169018373,846,0
16830,18544,CHUK,ENSG00000213341,-0.0013627940538124396,0.2272373105474217,0.35900840020446095,260,0
12542,13159,B3GALT1,ENSG00000172318,-0.0013631612903648807,0.8836634362435571,0.9249179022865086,31,0
1056,1097,SCT,ENSG00000070031,-0.001363476472241538,0.7426485140984252,0.82906498791963,7,0
9058,9477,FAM151B,ENSG00000152380,-0.0013658083805983717,0.9907376936508784,0.9939336216949134,55,0
2722,2835,AAGAB,ENSG00000103591,-0.0013679007533937693,0.1028276546289469,0.19326793265271447,604,0
5889,6140,AANAT,ENSG00000129673,-0.001368403434753418,0.4798055412256821,0.6181541794219855,6,0
5009,5221,OCRL,ENSG00000122126,-0.0013685662619722118,0.35798430409128634,0.5005985547319697,157,0
2321,2414,MMP9,ENSG00000100985,-0.001368780341592564,0.08050797493330714,0.16041418176780686,314,0
17881,21174,LINC01583,ENSG00000259518,-0.001368862661448392,0.39938878728069094,0.5425593164427557,11,0
11917,12486,PDILT,ENSG00000169340,-0.0013695694506168365,0.7846276386222426,0.8579637700961645,4,0
6895,7202,RAPGEF5,ENSG00000136237,-0.0013696739091287253,0.17565123783070624,0.2952573730223384,353,0
7218,7542,SELENOI,ENSG00000138018,-0.0013699817646864894,0.45155274524084665,0.5917947904336422,281,0
4159,4338,ADAM23,ENSG00000114948,-0.001370843558775625,0.4663600059406219,0.6051959509463719,174,0
16243,17334,SMG5,ENSG00000198952,-0.001371355163565364,0.03297280067591983,0.0763839181393748,451,0
802,834,GUCY1B1,ENSG00000061918,-0.0013713986135837509,0.04461703637653358,0.09841062633405634,205,0
13072,13739,NRIP3,ENSG00000175352,-0.0013715418385023752,0.7086306306334951,0.8039304211831845,164,0
6581,6876,CABLES1,ENSG00000134508,-0.0013717839834075304,0.18863309767619818,0.3117709125454259,159,0
4172,4352,SLC35F5,ENSG00000115084,-0.0013723241938355904,0.028041210507594387,0.06668140538699009,718,0
14259,15053,C2CD4C,ENSG00000183186,-0.001372487529327995,0.36558772200316336,0.5082222224971339,19,0
127,136,MAP3K9,ENSG00000006432,-0.0013737739339883149,0.029652679494265546,0.06991647704864734,253,0
8486,8868,AKAP4,ENSG00000147081,-0.001374044588633946,0.6233638919292701,0.7385366976612818,7,0
3477,3632,TMEM33,ENSG00000109133,-0.0013748595873812935,0.09068170783426854,0.17563836049639384,983,0
2911,3034,POP4,ENSG00000105171,-0.00137496847500229,0.21030647235019273,0.33836168081174306,398,0
16082,17161,NUDT16,ENSG00000198585,-0.0013749697169319528,0.03164655153570086,0.07380635566256444,1098,0
11140,11656,CLMN,ENSG00000165959,-0.0013752658351582321,0.08203017219287644,0.16292528080032723,354,0
4044,4219,DBN1,ENSG00000113758,-0.0013756020350402661,0.09871249480624979,0.18726250859820678,534,0
14923,15807,PCLO,ENSG00000186472,-0.001376188896719075,0.0482200884406759,0.1048829202755252,243,0
4445,4631,OSCP1,ENSG00000116885,-0.0013772431295365096,0.5149025557569034,0.6483186025927002,240,0
16705,18134,MIR655,ENSG00000207646,-0.0013782978057861328,0.6620543098356135,0.768566220077924,1,0
17029,18821,TMEM242,ENSG00000215712,-0.0013784773373451229,0.1850008742848681,0.30693663324936776,791,0
2921,3044,CLC,ENSG00000105205,-0.001378546158472697,0.39299947328160745,0.5361826549268696,6,0
3928,4101,CLIC5,ENSG00000112782,-0.0013792525591105704,0.05327476693676798,0.11425205735433748,309,0
1102,1144,NCK2,ENSG00000071051,-0.0013793653927268498,0.027900851589786405,0.06641534515440928,502,0
11799,12365,GFM1,ENSG00000168827,-0.0013796903572679447,0.1356990269694069,0.2410188314533726,677,0
12365,12966,OR1L3,ENSG00000171481,-0.0013810992240905762,0.6613887276152208,0.76793688366001,1,0
544,571,RTN4R,ENSG00000040608,-0.0013815189186151666,0.16285244330863835,0.27859322317137575,101,0
8334,8708,ARHGAP26,ENSG00000145819,-0.0013820339684441154,0.10310247943975595,0.19366743168369702,448,0
8425,8806,PNLDC1,ENSG00000146453,-0.0013828763889299858,0.26410880624022814,0.40175025062710173,37,0
8409,8788,CLVS2,ENSG00000146352,-0.0013836376058558623,0.5502841399506315,0.679030687176219,30,0
3505,3661,KLHL2,ENSG00000109466,-0.001384491197061574,0.028307286971410696,0.0672455728690673,339,0
10137,10620,PAQR4,ENSG00000162073,-0.0013845183450904527,0.21430776872210944,0.34320142158896,233,0
13198,13871,ENTHD1,ENSG00000176177,-0.001384889893233776,0.6291951614317968,0.7428993743556902,20,0
17086,19092,MIR1262,ENSG00000221203,-0.0013859719038009644,0.6165356959318622,0.7332413056780464,2,0
17905,21287,LINC02911,ENSG00000261190,-0.001393090933561325,0.32129375286107265,0.4626392027461699,6,0
8270,8642,SNCA,ENSG00000145335,-0.001393285217069684,0.26675127023423706,0.404616511937831,213,0
1485,1543,DUSP12,ENSG00000081721,-0.0013945431734515925,0.12485861027153249,0.22528153816155444,508,0
8548,8937,ST18,ENSG00000147488,-0.0013949866592884064,0.1906681588919178,0.3142437594880044,50,0
8705,9098,CNNM2,ENSG00000148842,-0.0013962611944104235,0.26394385844043033,0.40169581587949027,144,0
12288,12884,JAGN1,ENSG00000171135,-0.0013972539324962085,0.13747580557608066,0.2433879633357312,1005,0
3764,3927,APOBEC1,ENSG00000111701,-0.0013973801608451388,0.2422602331621072,0.37677745881021174,44,0
18274,23967,ZNF595,ENSG00000272602,-0.001397654360958508,0.909987759064192,0.9435112287680071,140,0
16219,17308,L1CAM,ENSG00000198910,-0.0013976819222656692,0.21397711138378217,0.3429378648287495,82,0
834,867,ADCK1,ENSG00000063761,-0.0013981421426352528,0.703753298325978,0.8003334094132866,72,0
6808,7112,STX6,ENSG00000135823,-0.0013983430735120166,0.03227231532265564,0.07505002541385272,841,0
16772,18419,MIR708,ENSG00000211997,-0.001399695873260498,0.6568748957751843,0.7645035586081793,1,0
7295,7624,MDH1B,ENSG00000138400,-0.0014006039952930015,0.9564179516248752,0.9731999179167613,79,0
13724,14447,TPPP2,ENSG00000179636,-0.001400677694214715,0.4552192257267488,0.5950536428764366,9,0
6480,6774,CATSPERB,ENSG00000133962,-0.001401983667165041,0.1779089642711147,0.2980055002961401,56,0
17061,18958,CDC14C,ENSG00000218305,-0.0014039874076843262,0.6556607983339251,0.7634709581824728,1,0
765,797,DGKG,ENSG00000058866,-0.0014043683340111055,0.0511848421807857,0.11046643003871043,242,0
9779,10237,ALG8,ENSG00000159063,-0.0014053675743419846,0.03048456877939158,0.07148052945758317,593,0
5230,5445,NCOA5,ENSG00000124160,-0.0014053727723658085,0.1903556952738773,0.313881691891327,250,0
6345,6633,AP3B1,ENSG00000132842,-0.00140537975309568,0.13377058718740653,0.2382513273758715,923,0
15903,16944,SGTB,ENSG00000197860,-0.0014056424232444069,0.509796006278314,0.6439310551109009,244,0
2340,2435,PABPC1L,ENSG00000101104,-0.001405826844875851,0.5227717805545167,0.6544297757610403,248,0
16024,17090,MYL4,ENSG00000198336,-0.0014062453718746409,0.07610191632846679,0.15325510022546843,34,0
9518,9963,UNC5D,ENSG00000156687,-0.0014065055487056573,0.3261212010298654,0.46733569677634995,24,0
9243,9671,C16orf74,ENSG00000154102,-0.00140680517010039,0.04808137106343874,0.1046807061448577,466,0
2260,2351,CHGA,ENSG00000100604,-0.0014069451597230188,0.3681499296500701,0.5106048526289808,29,0
3679,3839,PPM1H,ENSG00000111110,-0.001407179312611168,0.3360812242198793,0.47784788509166015,110,0
18080,22403,MIR548AD,ENSG00000265301,-0.0014072060585021973,0.6548227256820565,0.7627692173095707,1,0
17798,20958,ZNF10,ENSG00000256223,-0.0014077717966334087,0.48824159054360206,0.6246118250064181,127,0
17255,19762,SCAMP4,ENSG00000227500,-0.0014083826852341493,0.07225631080426081,0.14684194724542657,600,0
17149,19463,LINC02897,ENSG00000221953,-0.0014087241142988205,0.4598366587084416,0.5994469664226573,16,0
14073,14834,SHISAL2A,ENSG00000182183,-0.0014106381254700513,0.25486721142665403,0.39145791136894925,26,0
2041,2121,CDHR5,ENSG00000099834,-0.0014111600402328703,0.07960813856890489,0.1589437048679398,72,0
10026,10500,LRRC14,ENSG00000160959,-0.0014111965659107616,0.04311534300229325,0.09562965653426744,253,0
967,1004,CACNB1,ENSG00000067191,-0.00141171766942694,0.28578673842071634,0.4251598930822424,131,0
7020,7336,NR5A1,ENSG00000136931,-0.0014125424272873823,0.6470146667674008,0.7570356818879668,17,0
8219,8586,PLA1A,ENSG00000144837,-0.001412958727173862,0.21872283844930485,0.3485667576619718,84,0
1213,1264,ATP2A3,ENSG00000074370,-0.001412999707072864,0.4244342386648946,0.5661955171208846,273,0
913,947,ASB1,ENSG00000065802,-0.0014137239154197474,0.18505653227315733,0.3070016796067848,452,0
16461,17718,NMS,ENSG00000204640,-0.001414179801940918,0.6531978553337945,0.7617509908903567,1,0
1948,2028,TBC1D2,ENSG00000095383,-0.0014144712342665745,0.0416042619585278,0.09282978932752944,429,0
12908,13566,ABRA,ENSG00000174429,-0.001414913684129715,0.8856366421812462,0.9262403174028726,6,0
11779,12344,SEMA4C,ENSG00000168758,-0.001415982101787263,0.3303361897599001,0.47183659682484197,381,0
8916,9323,IPMK,ENSG00000151151,-0.0014162733794057963,0.029516833834249828,0.06963136780620756,261,0
3989,4163,CCNG1,ENSG00000113328,-0.0014176632634721122,0.03391175291137095,0.07822886751467201,999,0
10661,11159,APEH,ENSG00000164062,-0.00141793830569017,0.3382037696992346,0.4799651030738221,584,0
1820,1894,CERS4,ENSG00000090661,-0.0014183406439728867,0.0388394024838096,0.08774131360143912,532,0
2310,2401,EMC9,ENSG00000100908,-0.001418966635623399,0.47640575745487146,0.6149509846505189,170,0
14212,14999,GJC1,ENSG00000182963,-0.0014198701828718185,0.33277379403721885,0.47422934143382495,52,0
6098,6367,GFAP,ENSG00000131095,-0.0014213721426028125,0.05079067796553128,0.10968106131660846,53,0
11600,12152,SOST,ENSG00000167941,-0.0014223188995138596,0.045725751216215006,0.10044055534956704,342,0
11837,12404,SIGLEC7,ENSG00000168995,-0.0014230333807238613,0.05203336133578778,0.11207924766545077,83,0
16052,17122,ZXDB,ENSG00000198455,-0.0014230572839373165,0.20516637058407894,0.3322402564522184,97,0
17077,18979,LINGO3,ENSG00000220008,-0.001425878568129106,0.8019664204258361,0.8706984002528715,11,0
8989,9400,ACSL1,ENSG00000151726,-0.0014259456713112512,0.052983728038428046,0.11381102396650943,828,0
6390,6678,TRPC4,ENSG00000133107,-0.0014264236390590667,0.54090940308935,0.6704724405067558,25,0
9131,9551,NRSN1,ENSG00000152954,-0.001427680253982544,0.5550279720028664,0.6832578148550921,19,0
1402,1455,SLC1A3,ENSG00000079215,-0.0014279467069496542,0.04048652689475122,0.09074817920192886,177,0
15492,16461,HRCT1,ENSG00000196196,-0.0014292316253084949,0.5740742769456944,0.6990945642372027,101,0
11863,12431,CSNK1G1,ENSG00000169118,-0.0014298128077474537,0.031622165677287394,0.07378637133152216,378,0
14542,15378,ODF4,ENSG00000184650,-0.0014299005270004272,0.5735220121553648,0.6986500030564765,2,0
15164,16096,C2orf66,ENSG00000187944,-0.0014301300048828124,0.625486304513625,0.7401125201156781,5,0
10481,10972,TRAT1,ENSG00000163519,-0.0014321563154959878,0.08538901948766733,0.16800496664275333,238,0
12472,13081,CYP4F22,ENSG00000171954,-0.00143349113372656,0.6895120061455975,0.789570452154813,13,0
8314,8687,IQGAP2,ENSG00000145703,-0.001433651339723153,0.4010201159014216,0.5440677974468449,356,0
8529,8916,ZNF185,ENSG00000147394,-0.0014337431639432907,0.8650476463666817,0.9116049630768781,42,0
17290,19849,PGA3,ENSG00000229859,-0.001434161745268723,0.16486739349877777,0.2813375000171187,29,0
10469,10960,FEV,ENSG00000163497,-0.0014342211864211342,0.4055988810805532,0.5483574978703534,11,0
4740,4936,GPR68,ENSG00000119714,-0.001434926742937152,0.025307879018326953,0.06121127964769682,127,0
918,953,SLC9A7,ENSG00000065923,-0.0014354614835923613,0.2212311177906796,0.35148341064062,221,0
2392,2490,SEC23B,ENSG00000101310,-0.0014366060933098197,0.044436810555356525,0.09811748727522811,1000,0
10241,10725,NTNG1,ENSG00000162631,-0.0014371222092045678,0.2225081774816735,0.35313998965667387,36,0
12280,12875,HSFX1,ENSG00000171116,-0.0014372865358988445,0.4514229096466825,0.5917077475419427,3,0
18121,22631,MIR4516,ENSG00000265867,-0.0014376640319824219,0.6475611362295404,0.7574906470689082,1,0
2974,3099,ZNRF4,ENSG00000105428,-0.001437854371033609,0.6612811688023588,0.7678597765931559,8,0
15213,16155,PRKAR1B,ENSG00000188191,-0.0014390895431417795,0.651757114571395,0.760634671205343,336,0
9307,9740,NCAM2,ENSG00000154654,-0.00143973742212568,0.6234070587624119,0.7385366976612818,14,0
13162,13833,KLHL38,ENSG00000175946,-0.001439976692199707,0.32399200845591436,0.4653979197255928,5,0
9870,10335,PSKH1,ENSG00000159792,-0.001440368252732451,0.2079167663708099,0.33550042031125155,189,0
8275,8647,DDIT4L,ENSG00000145358,-0.001440585134368317,0.41717637812907193,0.5591517896773799,102,0
2530,2637,CD99L2,ENSG00000102181,-0.0014407718522781476,0.04402400121292175,0.09734421882132005,297,0
276,287,ABHD5,ENSG00000011198,-0.0014408493071162486,0.052651216649786774,0.1132063927167396,613,0
5380,5602,ABCC4,ENSG00000125257,-0.0014436332170258868,0.06950493592732505,0.14249199125509618,275,0
11463,11996,TRIM68,ENSG00000167333,-0.0014438744282393944,0.38006295488669095,0.5224290783193851,127,0
18220,23579,FBXO17,ENSG00000269190,-0.001445004664775398,0.6423382493971902,0.7533173109013619,54,0
9234,9661,SLC5A10,ENSG00000154025,-0.0014458696047465007,0.651417362247857,0.7604284003468884,18,0
17315,19906,TSPAN19,ENSG00000231738,-0.001446445703233054,0.33341343185090744,0.4749232548349567,109,0
16431,17647,NALF1,ENSG00000204442,-0.0014472917860580815,0.2793205336032101,0.4179798430328148,54,0
1929,2009,CDC23,ENSG00000094880,-0.001447686487707593,0.32964637322057777,0.4711398073143368,368,0
18517,24707,SPRR5,ENSG00000283227,-0.0014479619264602661,0.8228695187260768,0.8848977189619983,25,0
4641,4836,ABCG2,ENSG00000118777,-0.0014480964746326208,0.03664380109383575,0.08345823610533078,60,0
18304,24128,LHX1,ENSG00000273706,-0.0014490572114785512,0.9024516457376217,0.9384088999422693,18,0
17300,19872,CCDC192,ENSG00000230561,-0.0014491737820208073,0.9632847382330896,0.9776488904231769,12,0
17651,20582,ECSCR,ENSG00000249751,-0.0014491881996106643,0.2987468859085516,0.4389788619553977,104,0
8133,8498,THSD7B,ENSG00000144229,-0.0014502679114229977,0.5603084671633376,0.6878385425142727,32,0
14466,15294,H2AC21,ENSG00000184270,-0.0014503003940695809,0.7537872174707199,0.8362964194068394,21,0
11000,11508,SLC7A3,ENSG00000165349,-0.0014505237340927124,0.22474517597166244,0.35600551643728534,7,0
16865,18587,SLC35F6,ENSG00000213699,-0.0014515959648127407,0.10221852212083711,0.19245259033143178,485,0
6269,6552,DDC,ENSG00000132437,-0.0014516259504466498,0.7765911991360526,0.8526011203023298,119,0
13714,14437,ZFPM1,ENSG00000179588,-0.0014522921431947638,0.11487164188724182,0.21076743732703365,108,0
726,757,ITIH4,ENSG00000055955,-0.0014527391296686586,0.883699072151758,0.9249179022865086,97,0
4149,4327,ZBTB47,ENSG00000114853,-0.0014531321271702095,0.9822829205224481,0.9889332317796363,27,0
16925,18663,MINDY4B,ENSG00000214237,-0.0014550252817571163,0.9778295935027178,0.9864101392406939,4,0
10950,11456,C9orf64,ENSG00000165118,-0.0014551769905420168,0.2141855262039345,0.3430565536756879,356,0
15790,16812,C5AR1,ENSG00000197405,-0.0014562493413407705,0.04540579620553154,0.09980824092298488,267,0
14928,15812,IRX2-DT,ENSG00000186493,-0.0014572002770925376,0.029090290230065655,0.0687903707632778,532,0
