,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
14742,16046,GABRD,ENSG00000187730,0.00231040571248386,0.001974358566481102,0.008096887060949173,82,1
3029,3245,ABHD11,ENSG00000106077,0.002308370578599158,3.0118288886917697e-17,6.993404739616558e-16,788,1
1976,2101,MAGEB2,ENSG00000099399,0.0023074167241391385,0.00830691010811381,0.02789299834629665,38,1
4995,5345,CENPK,ENSG00000123219,0.0023038509040879404,1.5537225686582456e-10,2.077572035737321e-09,389,1
12303,13246,GARIN2,ENSG00000172717,0.0023030735919828374,4.301066827165111e-08,4.2974984642000956e-07,223,1
6274,6727,SEC14L4,ENSG00000133488,0.0023018644454005435,2.462296960992039e-06,1.8992909735406145e-05,156,1
8839,9491,OLAH,ENSG00000152463,0.002296223839663941,0.0012147134493329307,0.005287662280048047,115,1
12599,13579,BBS1,ENSG00000174483,0.0022942734966901216,0.00010274989624337383,0.0005824213604130995,132,1
5432,5810,TRAP1,ENSG00000126602,0.0022941568435482017,1.0485454043832181e-13,1.84619617253244e-12,683,1
9187,9866,RMND1,ENSG00000155906,0.0022929417459165743,1.7035063088723794e-07,1.5660988025333098e-06,232,1
12186,13113,NME6,ENSG00000172113,0.002288813066482544,4.1229254245590354e-20,1.1423412238444629e-18,625,1
15014,16357,ANKRD34B,ENSG00000189127,0.0022883277285743403,0.007139743837900357,0.02453372749070857,37,1
5012,5362,HOXC11,ENSG00000123388,0.002283687717639483,0.0035022800357148143,0.013269439774578045,65,1
7774,8330,HMCN1,ENSG00000143341,0.0022835158945425696,4.046650459615851e-05,0.00025124328469569807,92,1
2697,2875,SLC30A4,ENSG00000104154,0.002279596416266648,1.4413240712762481e-05,9.755533663396561e-05,143,1
9935,10677,LZIC,ENSG00000162441,0.0022795170604709594,7.217513795009384e-20,1.9815256338426217e-18,630,1
6469,6935,CLDN10,ENSG00000134873,0.0022778494938553036,2.7579091759500087e-12,4.298673793230104e-11,455,1
889,946,TLE2,ENSG00000065717,0.0022776915737595716,0.0005040867028313212,0.0024296494895004847,122,1
6019,6454,TOP2A,ENSG00000131747,0.0022728799422102133,4.578355303791976e-25,1.6475694932868933e-23,973,1
5815,6226,MTRES1,ENSG00000130349,0.0022728723162029375,2.7314004715671246e-11,3.909885064885903e-10,451,1
7176,7691,FRAS1,ENSG00000138759,0.0022695991447416403,0.00042132471193542163,0.0020660235942218763,59,1
17064,20446,TTC4,ENSG00000243725,0.0022694195427422252,0.0002070555642531715,0.001097552455467589,159,1
7089,7597,FAM149B1,ENSG00000138286,0.002267747260630131,0.0004925018199913201,0.00238079887025507,100,1
15369,16775,C6orf141,ENSG00000197261,0.0022619873217029096,6.521394092042663e-08,6.34404869535545e-07,191,1
13153,14196,ALS2CL,ENSG00000178038,0.0022611395145456,0.006201562144840094,0.021732535430947875,120,1
11621,12490,SNUPN,ENSG00000169371,0.002257530874152097,2.726869276036193e-16,5.857418962139575e-15,496,1
7015,7515,SLC28A2,ENSG00000137860,0.002256825812301546,6.100618922112756e-05,0.0003644433889813721,159,1
2562,2729,DHODH,ENSG00000102967,0.0022534005624312227,5.44765715593476e-05,0.0003283681231964012,186,1
6350,6810,REG4,ENSG00000134193,0.00225127556639192,0.00027525968333468666,0.00141749320964684,191,1
10937,11734,ZNF202,ENSG00000166261,0.0022496074558265747,0.009304232028624421,0.030757600683474242,62,1
1112,1185,SPEG,ENSG00000072195,0.00224900484085083,0.0031611874981141604,0.012114308899752294,125,1
15497,16931,CCDC180,ENSG00000197816,0.0022487322914234377,9.692606387198053e-05,0.0005549823593810866,114,1
