,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
14416,15826,CEACAM19,ENSG00000186567,-0.0003856469411402941,0.6272670975884277,0.7861457445568797,40,0
12894,14029,ZDHHC13,ENSG00000177054,-0.00038566320048024255,0.7209748492789918,0.8500644134203399,168,0
8454,9111,TUT1,ENSG00000149016,-0.00038569961750024075,0.9403270138710672,0.971174135403849,74,0
7076,7618,METTL5,ENSG00000138382,-0.0003859827368244253,0.4685293044892689,0.6650530978546303,864,0
4099,4411,WDR75,ENSG00000115368,-0.00038630059936036495,0.34708249830286475,0.5545276054724748,236,0
7425,7988,KATNB1,ENSG00000140854,-0.0003865099093620328,0.39537993852782705,0.6018955368322155,69,0
3146,3376,NCS1,ENSG00000107130,-0.0003869788437757803,0.7810268015041057,0.8828064002152715,138,0
12234,13264,PSME3IP1,ENSG00000172775,-0.0003871279900486445,0.20706413872565177,0.3985459614167633,883,0
8449,9106,LIN7C,ENSG00000148943,-0.00038727940586598023,0.46687688982290754,0.6636186687011258,230,0
14200,15571,FAAP100,ENSG00000185504,-0.0003873071288817549,0.32024884820782173,0.5272156411540707,292,0
113,126,CACNG3,ENSG00000006116,-0.00038745999336242676,0.9211911442835565,0.9602880765809005,2,0
2887,3096,MEIS3,ENSG00000105419,-0.0003876684499638421,0.8202239389946714,0.9055915917860166,35,0
6032,6496,CC2D1A,ENSG00000132024,-0.00038776040717864493,0.576199333120082,0.7492459350798119,157,0
1895,2021,TMEM38B,ENSG00000095209,-0.0003880800002000549,0.4241670615289881,0.6263660197358867,187,0
9519,10281,ADPGK,ENSG00000159322,-0.00038846934299797557,0.4579999510664313,0.6564638024108673,283,0
4050,4359,TP53I3,ENSG00000115129,-0.00038954002134825873,0.6234407855910773,0.7838190877366661,276,0
16409,19453,TRIM16,ENSG00000221926,-0.00038967688646539093,0.22047668282048782,0.4151876330499401,391,0
10406,11227,F2RL2,ENSG00000164220,-0.000389807258865663,0.8619106934882405,0.9290167881511059,28,0
1968,2096,FBXL19,ENSG00000099364,-0.0003902712099564572,0.8864856286426673,0.9421186226071786,48,0
2855,3062,PRKD2,ENSG00000105287,-0.0003912130296967997,0.6771454106090208,0.8211879583431172,202,0
1180,1259,EED,ENSG00000074266,-0.00039159138263626534,0.8034578160428515,0.8967274615071648,154,0
7112,7658,ARHGAP24,ENSG00000138639,-0.00039187530637718737,0.41454291570995394,0.6184063495095484,160,0
14018,15358,SOCS3,ENSG00000184557,-0.00039223425390248816,0.32018975812648864,0.5272156411540707,857,0
5000,5368,TUBA1B,ENSG00000123416,-0.00039274948506037643,0.029507650151812875,0.10162978334878876,2734,0
7904,8506,SCRN3,ENSG00000144306,-0.00039286641737973073,0.7803648311379655,0.8825298647819811,251,0
11706,12657,HOXD4,ENSG00000170166,-0.00039301812648773193,0.9779183172885115,0.9886178875813514,2,0
6989,7522,SPTBN5,ENSG00000137877,-0.00039324208217508653,0.7465880374796463,0.8649649381830951,17,0
699,749,GINM1,ENSG00000055211,-0.00039345326309719246,0.3777422182787138,0.5851465768061653,722,0
6347,6834,SPIRE1,ENSG00000134278,-0.0003935171411402764,0.43950015103600215,0.6397474979778428,155,0
5418,5821,CFP,ENSG00000126759,-0.0003935760982772883,0.4640290748481428,0.6612180147694812,34,0
15171,16738,ZGPAT,ENSG00000197114,-0.00039362714246467305,0.4843873013308825,0.6778579885724696,54,0
17207,22403,MIR548AD,ENSG00000265301,-0.0003936886787414551,0.9478266823733223,0.9749091417849396,1,0
10437,11258,CFAP97,ENSG00000164323,-0.00039387753964176383,0.3832323017441971,0.5901128750703769,971,0
16293,18762,UBXN2B,ENSG00000215114,-0.00039403915196378655,0.505854505726139,0.6953516643196354,107,0
8978,9693,CEP112,ENSG00000154240,-0.00039421990831297904,0.4735519908385223,0.6693513272113922,176,0
13718,14995,EWSR1,ENSG00000182944,-0.00039467771773511734,0.6005360190248943,0.7678785439611168,983,0
12816,13926,SGF29,ENSG00000176476,-0.0003953853083658032,0.9589933598171495,0.980202321905027,128,0
1046,1112,FSTL3,ENSG00000070404,-0.0003953976699208118,0.7008750102418475,0.8372735518004552,196,0
4045,4354,ACTR3,ENSG00000115091,-0.0003954647828737392,0.10272741916778258,0.250777661487358,1779,0
11221,12119,IGFBP6,ENSG00000167779,-0.0003956242717699521,0.2269073482855386,0.4225897934300533,217,0
3874,4172,FAM172A,ENSG00000113391,-0.00039573186504825647,0.3194350711343308,0.526327351776317,392,0
6879,7400,KIAA0319,ENSG00000137261,-0.00039599363559058735,0.7130298279398516,0.8445902680369488,42,0
8674,9356,ANKRD50,ENSG00000151458,-0.00039609889470556246,0.7723203086055715,0.8786686956079891,159,0
1672,1783,KIF9,ENSG00000088727,-0.00039638419164925496,0.6056200511691627,0.771029923968625,186,0
3789,4079,BICRAL,ENSG00000112624,-0.0003967428285824625,0.7643134428436137,0.8741237534381501,38,0
529,570,CTNS,ENSG00000040531,-0.00039691205365934235,0.7901890593194221,0.8887423694391154,69,0
1064,1132,CSNK2A2,ENSG00000070770,-0.00039718439581834877,0.797557009523814,0.8931585826560232,211,0
8563,9227,MMP3,ENSG00000149968,-0.0003972066333517432,0.8555677296903282,0.9253368866573426,32,0
13168,14335,TUFM,ENSG00000178952,-0.00039732520221065097,0.29689291674618334,0.5023744132209073,1193,0
4366,4693,EBNA1BP2,ENSG00000117395,-0.00039745573987708474,0.4318594030910068,0.6335900528514496,685,0
98,106,FBXL3,ENSG00000005812,-0.00039776369710178936,0.6612509101273769,0.8101184353993717,255,0
713,763,PHF21B,ENSG00000056487,-0.0003978051245212555,0.734051442104702,0.858282215373614,8,0
9093,9820,NIFK,ENSG00000155438,-0.0003983106854188646,0.5565620419022203,0.7350300767410299,1170,0
10945,11810,ZSCAN21,ENSG00000166529,-0.0003984546250042816,0.9882205533977823,0.9935527447344128,48,0
7100,7644,USP8,ENSG00000138592,-0.00039857312260001385,0.8356114716948947,0.9145913701607232,1333,0
5710,6139,RHBDF2,ENSG00000129667,-0.0003991459148921191,0.951177050479667,0.9762773737641569,252,0
16315,18794,NPEPL1,ENSG00000215440,-0.00039968557490650656,0.4046874232347333,0.6103164967737629,203,0
9657,10431,ZER1,ENSG00000160445,-0.0003999553202670448,0.25022024293974165,0.4498662232478159,98,0
13301,14491,C14orf119,ENSG00000179933,-0.00040005744457098576,0.5712629040425841,0.745964274233214,713,0
5575,5994,RNF112,ENSG00000128482,-0.000400245888158679,0.9785146874885999,0.9888809027543269,16,0
8403,9057,RSU1,ENSG00000148484,-0.00040039287710180114,0.9439200523168166,0.9728611273309106,614,0
2890,3099,ZNRF4,ENSG00000105428,-0.00040092070897420246,0.9467181042856337,0.9745415179033149,3,0
5451,5859,ZNF484,ENSG00000127081,-0.00040111373154780804,0.977566083842917,0.9885941143462498,39,0
4582,4921,IRF2BPL,ENSG00000119669,-0.00040117835344158505,0.7403860942254554,0.8617816772781188,304,0
2192,2337,VTI1B,ENSG00000100568,-0.0004015453500159555,0.6510467102912467,0.8021854449542714,602,0
4043,4352,SLC35F5,ENSG00000115084,-0.00040166730507956564,0.45239043232052234,0.6513123143736808,296,0
15553,17212,SMOC1,ENSG00000198732,-0.0004019284509678385,0.9883732993289523,0.9935527447344128,67,0
16906,20766,MAILR,ENSG00000253320,-0.0004019346565772326,0.8509460362982889,0.9226206087480618,39,0
14531,15977,DCC,ENSG00000187323,-0.0004019486922316435,0.8527539143055832,0.9237295040305017,41,0
9421,10173,CD1B,ENSG00000158485,-0.0004019811749458313,0.6179441002059263,0.7797707193413782,4,0
15774,17538,CHIC1,ENSG00000204116,-0.0004020264825305423,0.9939214606207777,0.9963731151388601,37,0
1112,1186,LNX1,ENSG00000072201,-0.0004022810608148575,0.6766061334535364,0.8207825847668414,120,0
1414,1502,COL5A3,ENSG00000080573,-0.000402425896496542,0.8246876648644065,0.9077579184815723,93,0
1705,1817,KDM2B,ENSG00000089094,-0.0004028601674135865,0.7602370288017978,0.8710422050440906,164,0
11534,12469,ZRSR2,ENSG00000169249,-0.00040382129671020313,0.632959699794439,0.789303900236296,293,0
16634,20084,LCE6A,ENSG00000235942,-0.00040435791015625,0.9501436318260665,0.9757917502661042,1,0
8656,9335,CSNK1G3,ENSG00000151292,-0.00040453579276800156,0.891545133032917,0.9445357737546323,317,0
7058,7596,ANXA7,ENSG00000138279,-0.00040469202666382334,0.8465690568256428,0.9208166850452354,873,0
10560,11395,INTS1,ENSG00000164880,-0.00040487393242194937,0.35257503794172074,0.559504025680738,241,0
15077,16625,ZNF512B,ENSG00000196700,-0.0004054864402860403,0.8674885609288157,0.9317650585735971,72,0
15876,17790,ZNF783,ENSG00000204946,-0.0004061497587325244,0.423751957845095,0.6259625472545607,58,0
9697,10474,CCDC12,ENSG00000160799,-0.00040624129263038385,0.4780856963614789,0.6730958411956426,499,0
11717,12670,USP50,ENSG00000170236,-0.0004065657655398051,0.964729744889376,0.982876227199609,3,0
5483,5893,EMC1,ENSG00000127463,-0.000406740283871668,0.4806688460353109,0.6749000291478332,221,0
7834,8433,LBR,ENSG00000143815,-0.0004072371100085211,0.3649094041021872,0.5717259555748757,578,0
6207,6683,STOML3,ENSG00000133115,-0.00040744029154831713,0.9686798028009613,0.9848635303509256,22,0
13977,15310,IQCF2,ENSG00000184345,-0.0004080533981323242,0.9506677628889564,0.9762107192865375,1,0
12176,13193,COPS9,ENSG00000172428,-0.00040821213473122306,0.9950998748161606,0.9971526314149387,1054,0
8695,9381,NR3C2,ENSG00000151623,-0.00040919786053044457,0.4697301694666648,0.6661682763378094,35,0
11555,12492,SIN3A,ENSG00000169375,-0.0004101066439137285,0.425707289650172,0.6277475140162296,247,0
13878,15196,ZNF703,ENSG00000183779,-0.0004102358082581682,0.9260894624515789,0.9631493681344618,171,0
8731,9421,GFRA1,ENSG00000151892,-0.00041026473045349123,0.42724377617761955,0.6291720762669084,20,0
6644,7149,TGFBRAP1,ENSG00000135966,-0.0004110858405390418,0.40122713535628585,0.6070693145377,83,0
9778,10569,EMC10,ENSG00000161671,-0.00041220072222855484,0.47863697013076567,0.6734958737735411,721,0
2042,2179,GGA1,ENSG00000100083,-0.0004126760311124996,0.8050007257390759,0.897766296086524,348,0
1248,1329,ARHGAP15,ENSG00000075884,-0.00041284119698462214,0.3182486237629094,0.5256881048453599,157,0
11455,12382,MAT2A,ENSG00000168906,-0.00041288739739122536,0.21223644218979132,0.4051431835333085,518,0
7576,8153,DUS3L,ENSG00000141994,-0.00041294974130643927,0.5890877897159831,0.7588102870334688,71,0
15981,17940,RIMOC1,ENSG00000205765,-0.0004132145512669416,0.2674000348061434,0.46990290599673995,311,0
6346,6833,NAPG,ENSG00000134265,-0.00041413844108235005,0.8545257847853471,0.9247973906844795,430,0
9145,9874,MICU3,ENSG00000155970,-0.0004149364476854151,0.8409033342123372,0.9175381502522151,55,0
12708,13801,AURKAIP1,ENSG00000175756,-0.00041544839229614165,0.2344905070551655,0.4325134268927216,1391,0
4721,5070,KBTBD7,ENSG00000120696,-0.00041547818599562894,0.6638456297331654,0.8118882656639572,95,0
5283,5676,OPA3,ENSG00000125741,-0.0004156282985253455,0.947514054359099,0.9748005148262433,277,0
12354,13399,PPP1R14B,ENSG00000173457,-0.0004159439543064679,0.7051030687804488,0.8401347736347068,783,0
3910,4209,CSNK1A1,ENSG00000113712,-0.0004162410261519885,0.2508215889661568,0.45044259713796025,1475,0
3478,3741,PRPF19,ENSG00000110107,-0.0004162925334241979,0.7481981850591506,0.8653897610537739,409,0
10323,11143,H2AZ1,ENSG00000164032,-0.0004163077019729857,0.20894446429479607,0.40111518610622876,2346,0
674,722,PHPT1,ENSG00000054148,-0.00041639291130386675,0.07144427258730647,0.19666955586036258,1665,0
