,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
8508,8917,CETN2,ENSG00000147400,-0.00010062392920272395,7.658863332979412e-05,0.0003870739171928263,1781,1
2942,3067,HNRNPUL1,ENSG00000105323,-0.00010078800826565904,7.853356085286082e-05,0.00039592833978500307,1194,1
15317,16370,S100A13,ENSG00000189171,-0.00010301075203684201,6.00892748211801e-08,4.6865033735481e-07,1419,1
15712,16830,HNRNPAB,ENSG00000197451,-0.00010410423488601258,4.037650358355824e-05,0.00021407106294234917,1520,1
3127,3261,PDAP1,ENSG00000106244,-0.00010470925868055684,1.6312458406319403e-08,1.3632873169474593e-07,2393,1
7571,7927,USP3,ENSG00000140455,-0.00010490420506426574,4.7177462173381e-05,0.000246522070792566,554,1
5113,5334,TRIR,ENSG00000123144,-0.00010598193238939527,3.924585354922585e-10,3.831799630876492e-09,2168,1
452,472,POU2F2,ENSG00000028277,-0.00010679107050872543,0.0006418585462497227,0.0027049226164180453,618,1
5072,5293,DCAF10,ENSG00000122741,-0.00010715649688323162,0.014395192702258988,0.04187692422475342,451,1
10679,11212,MOCS2,ENSG00000164172,-0.00010718026202888671,0.016579651471969693,0.047367480428488054,629,1
9810,10304,MED8,ENSG00000159479,-0.00010811489942000511,0.0019209142079896339,0.007277248536714448,748,1
1603,1669,CTTN,ENSG00000085733,-0.00010842495976248756,0.004557388685053298,0.015550640500677173,512,1
824,856,RPL18,ENSG00000063177,-0.0001085651827944565,1.72273161579647e-59,9.719386740690484e-58,13759,1
4213,4397,SPTBN1,ENSG00000115306,-0.00010967716173846511,0.0022602520717142404,0.00841673070409267,948,1
11412,11986,ATP5MG,ENSG00000167283,-0.00010978103957794868,9.246055791260789e-26,2.2366184563134276e-24,4112,1
6727,7041,BLOC1S1,ENSG00000135441,-0.00011002154759026376,5.215398400170973e-10,5.0251994254090886e-09,2732,1
4957,5174,ZMYM2,ENSG00000121741,-0.00011027700167672693,0.002372793020690801,0.008785850732509396,484,1
11897,12511,SPRR1B,ENSG00000169469,-0.0001111375999916576,0.004144124135347602,0.014291265778772546,806,1
7204,7542,SELENOI,ENSG00000138018,-0.0001112817047998823,0.010942203056036982,0.03322892269551078,145,1
12651,13337,COMMD1,ENSG00000173163,-0.00011142481201879278,2.6207420386923736e-05,0.00014421946585073037,1518,1
15135,16165,COMMD6,ENSG00000188243,-0.00011196118950805871,4.074373178815302e-21,8.227720991933633e-20,4713,1
8826,9254,SAP18,ENSG00000150459,-0.00011275720559112242,2.7958973590683463e-11,3.0103096873680093e-10,3605,1
16044,17224,RPL10A,ENSG00000198755,-0.0001131290738239621,6.722075111131625e-50,3.104684363670264e-48,12957,1
4301,4487,DARS1,ENSG00000115866,-0.00011404619190593888,4.61266916484533e-05,0.00024158212455470998,1517,1
4842,5048,ENY2,ENSG00000120533,-0.00011413418160852535,1.9109351157112073e-15,2.8302832214604767e-14,3225,1
5384,5613,NDUFA1,ENSG00000125356,-0.00011622229003056914,7.159994710519396e-21,1.4285708706429124e-19,4337,1
7603,7962,SEC11A,ENSG00000140612,-0.00011757867141653937,4.119054627693207e-08,3.2766588135957767e-07,2983,1
3313,3454,CUEDC2,ENSG00000107874,-0.00011793571687915348,0.0016602168476384975,0.006389953005520465,723,1
4847,5054,EPC1,ENSG00000120616,-0.00011799186938057799,7.583327130417127e-05,0.00038347458980509774,872,1
7605,7964,GLYR1,ENSG00000140632,-0.00011860595535494879,0.0030017085810426806,0.010806891613686958,469,1
2047,2129,TRMT2A,ENSG00000099899,-0.00011917307243853594,0.01642197057466309,0.046975546405151704,419,1
13440,14210,NDUFV2,ENSG00000178127,-0.00011979503747151823,2.516647782469463e-09,2.2731652088354718e-08,2450,1
6599,6907,BTF3L4,ENSG00000134717,-0.00012027572746720489,1.2557125990618244e-07,9.409377285001067e-07,1709,1
1449,1504,PUM3,ENSG00000080608,-0.00012121816365583705,0.000685558763498134,0.0028693004993156327,988,1
6503,6809,PRPF38B,ENSG00000134186,-0.0001215060901912776,5.9196523182598055e-05,0.000304467727651085,1100,1
15290,16337,NDUFA4,ENSG00000189043,-0.00012183208290427801,1.0637766428826956e-20,2.0996134040793438e-19,4179,1
4250,4435,GNLY,ENSG00000115523,-0.00012236006113867096,3.439238748573743e-05,0.00018547612262896515,755,1
8914,9347,NDUFC2,ENSG00000151366,-0.0001235306319130126,1.2685713551285544e-10,1.2994706350635292e-09,2985,1
1417,1471,PAFAH1B3,ENSG00000079462,-0.00012395320694930751,5.769833215760209e-05,0.0002974294682152915,1103,1
4099,4277,C3orf14,ENSG00000114405,-0.0001264597139968217,0.012991844414543458,0.038471973382601554,393,1
5816,6071,PSMA1,ENSG00000129084,-0.00012727444781133042,1.5246384486164278e-14,2.1051032073667787e-13,3188,1
670,699,PLEKHA5,ENSG00000052126,-0.00012740731341908597,0.00212372081880127,0.007963301622400835,581,1
7546,7902,GTF2A2,ENSG00000140307,-0.0001277406308723644,1.0719381593342158e-07,8.115218038626003e-07,1952,1
3738,3904,KRR1,ENSG00000111615,-0.00012787035371683822,0.00014528994225719403,0.0006955708567174699,869,1
7832,8205,RPS11,ENSG00000142534,-0.00012831692112294643,5.657445303964398e-64,3.4693952205181e-62,13726,1
11768,12379,VAMP5,ENSG00000168899,-0.0001287782695867772,1.063771623950176e-05,6.235780853796112e-05,1648,1
3370,3522,KPNB1,ENSG00000108424,-0.00012934756048782974,3.815026536553051e-09,3.3973932284719155e-08,2149,1
2251,2344,DAAM1,ENSG00000100592,-0.00012986895188197984,0.00943221352926128,0.02921930516515203,546,1
8924,9358,CDC123,ENSG00000151465,-0.00013112948266328544,2.038159347013462e-05,0.00011432147380495209,1334,1
13004,13727,PHYKPL,ENSG00000175309,-0.00013116579545250243,0.007938364120812122,0.02521288989453119,439,1
6556,6863,NARS1,ENSG00000134440,-0.00013122730870363414,0.0011356459995648873,0.004529737882971888,1289,1
3258,3396,PTGDS,ENSG00000107317,-0.0001318129903540529,0.00042932583750958375,0.0018828315131728598,580,1
14587,15521,UBALD2,ENSG00000185262,-0.00013198898088825838,0.0011492780010775067,0.004574161369168041,898,1
6793,7109,NTPCR,ENSG00000135778,-0.00013208119451577435,0.002701032214210266,0.009863797386926795,847,1
502,524,ADSS2,ENSG00000035687,-0.00013224779393564742,8.530790491256041e-07,5.769847821751043e-06,1278,1
13704,14496,PUF60,ENSG00000179950,-0.0001323238974160487,0.005383755319835256,0.017971333978609002,808,1
13389,14157,HNRNPA0,ENSG00000177733,-0.0001331666652022065,2.569998814952558e-13,3.302277384090407e-12,2657,1
4643,4844,PPL,ENSG00000118898,-0.00013407679784191028,0.0030651105523538894,0.011011337595603627,223,1
16910,18978,FAM228B,ENSG00000219626,-0.0001352888842423757,0.013741697423243037,0.04026539854624451,336,1
2492,2595,STAG2,ENSG00000101972,-0.00013744705710248443,0.010853916999198522,0.03301002191031748,777,1
11912,12527,ZEB2,ENSG00000169554,-0.0001378208262527861,0.0036929965816766873,0.012967212815324347,410,1
14620,15554,MRPL30,ENSG00000185414,-0.00013787090608778584,0.004248979647697589,0.014603362091574045,703,1
6746,7061,LTV1,ENSG00000135521,-0.0001379691960313652,0.004836179751287699,0.01640073801270879,395,1
7479,7829,SBNO1,ENSG00000139697,-0.0001387488836097339,0.00415476971279135,0.014319898017620713,630,1
