"Gene_Symbol"	"N"	"Beta"	"SE"	"tval"	"df"	"pval"	"ci.lb"	"ci.ub"	"adjP"
"GFY"	11	0.201378002003172	0.264705287763959	0.760763049745887	10	0.464359127468225	-0.388422133989912	0.791178137996256	0.610286418147894
"GGA1"	70	-0.0333981885386193	0.0435300775740421	-0.767243947172181	69	0.445553944735634	-0.120238317214217	0.0534419401369784	0.594518623804489
"GGA2"	70	0.267134301440491	0.0424786750556495	6.28866839868547	69	2.52070769199356e-08	0.182391663398393	0.351876939482589	3.72513910884751e-07
"GGA3"	70	-0.0984369065148955	0.0438770612600606	-2.24347081796242	69	0.0280793646370976	-0.185969248704033	-0.0109045643257582	0.0711673293395908
"GGACT"	55	0.244136622383343	0.0906028682858124	2.69457939911128	54	0.00937333371480772	0.062488808306687	0.425784436459999	0.0281618973942659
"GGCT"	70	-0.49407476969545	0.0593227455288414	-8.32858906463191	69	5.01001231289394e-12	-0.612420408899786	-0.375729130491115	2.51430074942564e-10
"GGCX"	70	-0.15346545810276	0.046594196900039	-3.2936603335389	69	0.0015623622851215	-0.246418337579096	-0.0605125786264229	0.00599694068326095
"GGH"	70	-0.0298576471693571	0.0502722505103587	-0.593919048107959	69	0.554508473806767	-0.13014804283212	0.0704327484934055	0.686849841745684
"GGNBP2"	70	0.0684172890354697	0.0399891870840472	1.71089471990701	69	0.091593164281565	-0.0113589563917157	0.148193534462655	0.18455078300424
"GGT1"	51	0.296690437584609	0.0759855596177163	3.90456343385849	50	0.000283354043420288	0.14406894942637	0.449311925742849	0.00134618963185882
"GGT7"	61	0.303635849698285	0.0653787600177947	4.64425831287779	60	1.90959280660929e-05	0.172858858428697	0.434412840967873	0.000124620734440151
"GHDC"	67	0.0896481498184203	0.0566086121076756	1.58364860894134	66	0.118054142274517	-0.0233745909220378	0.202670890558878	0.224972249478809
"GHITM"	70	-0.146898324424033	0.0357970361586595	-4.10364488760888	69	0.000109742418647916	-0.218311457583179	-0.0754851912648875	0.000583067384538459
"GID4"	69	0.249345619390265	0.0509047362864938	4.89827936612693	68	6.27219792877644e-06	0.147766799667937	0.350924439112593	4.6609679884797e-05
"GID8"	70	0.129079715155346	0.038361123578016	3.36485752021402	69	0.00125392194580554	0.0525513675550213	0.205608062755672	0.00495184201564152
"GIGYF1"	69	0.0771680652554706	0.0427432055387577	1.80538788054859	68	0.0754406778134497	-0.00812467342684041	0.162460803937782	0.158438280179695
"GIGYF2"	70	-0.096313389639176	0.0385733103163892	-2.49689199213618	69	0.0149197072838591	-0.173265038200365	-0.0193617410779866	0.0419188026561827
"GIN1"	66	-0.139396918139713	0.0611123088733415	-2.28099577171304	65	0.0258341340250641	-0.261446626860024	-0.0173472094194016	0.0664794386245907
"GINM1"	70	0.0694892842699038	0.0426101079591833	1.6308169023291	69	0.107485571980573	-0.0155155552404934	0.154494123780301	0.209327915511244
