,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
7830,11296,CREBRF,ENSG00000164463,0.00035224523809221055,0.8675276547469685,0.9795747312342241,9,0
10001,15287,PCDH9,ENSG00000184226,0.0003515058197081089,0.9308431105309647,0.9920616890065658,2,0
5070,7086,USP15,ENSG00000135655,0.0003498167730867863,0.7645044688903956,0.957718864247738,20,0
2736,3727,OSBP,ENSG00000110048,0.00034900701471737454,0.9560900912521763,0.9949639794098719,7,0
787,1025,ROCK1,ENSG00000067900,0.00034655528989705175,0.7582613408838795,0.9574059178312136,11,0
4216,5831,HSPA2,ENSG00000126803,0.0003440946340560913,0.9658771536630525,0.9962755935905809,5,0
11366,19809,ARL17B,ENSG00000228696,0.0003420114517211914,0.9424084325845691,0.9921168999622909,1,0
7885,11384,SUN1,ENSG00000164828,0.00033995633323987323,0.8370669477930649,0.9731717839512117,12,0
5518,7707,EGF,ENSG00000138798,0.0003390312194824219,0.9426014048410131,0.9921168999622909,1,0
2812,3827,PTGES3,ENSG00000110958,0.0003385151024250423,0.8956787206370068,0.9858467131516627,34,0
5432,7588,KIF20B,ENSG00000138182,0.0003374554216861725,0.9042207725247451,0.9886906141576928,4,0
11353,19719,,ENSG00000226492,0.00033707003439626386,0.8456188180946087,0.9754598790483815,31,0
3605,4919,NPC2,ENSG00000119655,0.0003366992847683529,0.987863627595661,0.9977024645437566,48,0
1885,2514,TTI1,ENSG00000101407,0.0003355741500854492,0.9430424969176185,0.9921168999622909,1,0
6840,9736,BTG3,ENSG00000154640,0.00033477753666894775,0.9363698711107032,0.9921168999622909,28,0
5287,7378,DENND4C,ENSG00000137145,0.0003345310688018799,0.9660235939470497,0.9962755935905809,2,0
7240,10366,ANKLE1,ENSG00000160117,0.00033423304557800293,0.9296360289157742,0.9920616890065658,2,0
10317,15980,MAGI2,ENSG00000187391,0.00033402442932128906,0.9207243963950131,0.9911498214515734,2,0
4063,5603,EFNB2,ENSG00000125266,0.00033377716317772865,0.9285779268002335,0.9920616890065658,12,0
2048,2761,NPRL3,ENSG00000103148,0.00033333376049995425,0.8659334869052239,0.9791913520060028,5,0
7533,10837,H3-3A,ENSG00000163041,0.0003326535224914551,0.9869089963431501,0.9975518013362378,26,0
1000,1296,SEMA3C,ENSG00000075223,0.00033013708889484406,0.8427226483635354,0.974975327458469,12,0
7822,11281,SEPTIN8,ENSG00000164402,0.00032897479832172394,0.9713744659056248,0.9969494924185539,2,0
3008,4103,ENPP5,ENSG00000112796,0.00032827258110046387,0.943897162402735,0.9921168999622909,1,0
4908,6852,IL6ST,ENSG00000134352,0.00032513770029733057,0.9719847610203541,0.9969494924185539,19,0
3368,4583,C1orf21,ENSG00000116667,0.000322796363869439,0.9333158062952531,0.9920616890065658,23,0
